2026-03-06 12:18:44 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2026-03-06 12:18:44 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
2026-03-06 12:18:44 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:18:45 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/ping HTTP/1.1" 200 2
2026-03-06 12:18:45 | DEBUG    | bot.client | ← GET https://testnet.binancefuture.com/fapi/v1/ping | status=200 | body={}
2026-03-06 12:18:45 | INFO     | bot.client | Ping successful.
2026-03-06 12:18:57 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-03-06 12:18:57 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2026-03-06 12:18:57 | INFO     | bot.orders | Placing MARKET order | symbol=BTCUSDT side=BUY qty=0.001
2026-03-06 12:18:57 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-03-06 12:18:57 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1772779737870, 'signature': '4c216818c3ff6647039edb81972ea2aa66cb6f52275b897b5d41121dd58f5723'}
2026-03-06 12:18:57 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:18:58 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.001&timestamp=1772779737870&signature=4c216818c3ff6647039edb81972ea2aa66cb6f52275b897b5d41121dd58f5723 HTTP/1.1" 400 88
2026-03-06 12:18:58 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2026-03-06 12:18:58 | ERROR    | bot.client | HTTP error: Binance API error -1021: Timestamp for this request was 1000ms ahead of the server's time.
2026-03-06 12:18:58 | ERROR    | __main__ | Order placement failed: Binance API error -1021: Timestamp for this request was 1000ms ahead of the server's time.
2026-03-06 12:19:53 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-03-06 12:19:53 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:19:54 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:19:54 | DEBUG    | bot.client | Server time sync: offset=-5339ms
2026-03-06 12:19:54 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5339ms)
2026-03-06 12:19:54 | INFO     | bot.orders | Placing MARKET order | symbol=BTCUSDT side=BUY qty=0.001
2026-03-06 12:19:54 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-03-06 12:19:54 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1772779789514, 'recvWindow': 5000, 'signature': '688b06e975c05e36807091ad4deb4eadd13b88fe0945a6b3ba4de19bbb70caa4'}
2026-03-06 12:19:55 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.001&timestamp=1772779789514&recvWindow=5000&signature=688b06e975c05e36807091ad4deb4eadd13b88fe0945a6b3ba4de19bbb70caa4 HTTP/1.1" 400 100
2026-03-06 12:19:55 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-4164,"msg":"Order's notional must be no smaller than 100 (unless you choose reduce only)."}
2026-03-06 12:19:55 | ERROR    | bot.client | HTTP error: Binance API error -4164: Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-06 12:19:55 | ERROR    | __main__ | Order placement failed: Binance API error -4164: Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-06 12:20:39 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:20:40 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:20:40 | DEBUG    | bot.client | Server time sync: offset=-5369ms
2026-03-06 12:20:40 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5369ms)
2026-03-06 12:20:40 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo | params={}
2026-03-06 12:20:40 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
